"","pptnum","Title","Artist","memoryage","type","vivid","memvalence","memenergy","unique","important","social","emo","emoextra","corresponding","specific","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","key_name","mode_name","key_mode","Age"
"1229",196,"Happy - From ""Despicable Me 2""","Pharrell Williams",10,3,6,4,4,4,2,4,"24,23,19","",1,0,0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,"5b88tNINg4Q4nrRbrCXUmg","F","minor","F minor",19
"1230",196,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis�featuring�Ray Dalton",16,3,3,4,4,2,1,4,"24,4,19,25","",0,0,0.641,0.922,2,-4.457,1,0.0786,0.0291,0,0.0862,0.847,146.078,"3bidbhpOYeV4knp8AIu8Xn","D","major","D major",19
"1231",197,"Circles","Post Malone",18,2,7,1,2,5,1,3,"2,9,15","",1,1,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,"21jGcNKet2qwijlDFuPiPb","C","major","C major",18
"1233",197,"Happy - From ""Despicable Me 2""","Pharrell Williams",10,2,5,5,4,3,3,3,"2,4","",1,1,0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,"5b88tNINg4Q4nrRbrCXUmg","F","minor","F minor",18
"1234",198,"Circles","Post Malone",18,2,7,5,5,3,5,5,"24,4,19,25","",1,1,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,"21jGcNKet2qwijlDFuPiPb","C","major","C major",22
"1235",198,"Wow.","Post Malone",18,2,7,5,5,3,4,5,"24,4,26,19,25","",1,1,0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,"6MWtB6iiXyIwun0YzU6DFP","B","minor","B minor",22
"1236",198,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha�featuring�Florida Georgia Line",16,3,1,3,3,1,1,1,"9","",1,0,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,"7iDa6hUg2VgEL1o1HjmfBn","A#","major","A# major",22
"1237",198,"Shape of You","Ed Sheeran",18,2,7,5,5,3,4,5,"7,24,4,34,23,19,13,35","",1,1,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,"7qiZfU4dY1lWllzX7mPBI3","C#","minor","C# minor",22
"1238",198,"Work","Rihanna�featuring�Drake",18,2,7,5,5,3,5,5,"24,4,34,19,35","",1,1,0.725,0.534,11,-6.238,1,0.0946,0.0752,0,0.0919,0.558,91.974,"32lmL4vQAAotg6MrJnhlQZ","B","major","B major",22
"1239",198,"All of Me","John Legend",15,3,5,4,3,2,2,3,"4,25,9","",1,0,0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,"3U4isOIWM3VvDubwSI3y7a","G#","major","G# major",22
